case,date,arrivals,capacity,opening_backlog,completed_on_time,completed_late,closing_backlog,past_due_at_close
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-12,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-13,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-14,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-15,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-11-16,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-05,2254,1088,0,1088,0,1166,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-06,1556,1088,1166,1088,0,1634,78
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-07,0,0,1634,0,0,1634,78
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-08,0,0,1634,0,0,1634,78
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-09,1374,1088,1634,1010,78,1920,546
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-10,1551,1088,1920,542,546,2383,832
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-11,807,1088,2383,256,832,2102,1295
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-12,1897,1088,2102,0,1088,2911,1014
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-13,660,1088,2911,74,1014,2483,1823
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-14,0,0,2483,0,0,2483,1823
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-15,0,0,2483,0,0,2483,1823
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-16,885,1088,2483,0,1088,2280,1395
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-17,997,1088,2280,0,1088,2189,1192
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-18,1908,1088,2189,0,1088,3009,1101
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-19,250,1088,3009,0,1088,2171,1921
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-20,321,1088,2171,0,1088,1404,1083
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-21,0,0,1404,0,0,1404,1083
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-22,0,0,1404,0,0,1404,1083
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-23,856,1088,1404,5,1083,1172,316
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-24,563,1088,1172,772,316,647,84
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-25,1384,1088,647,1004,84,943,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-26,871,1088,943,1088,0,726,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-27,730,1088,726,1088,0,368,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-28,0,0,368,0,0,368,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-29,0,0,368,0,0,368,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-30,1083,1088,368,1088,0,363,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-01-31,1023,1088,363,1088,0,298,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-01,278,1088,298,576,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-02,1293,1088,0,1088,0,205,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-03,662,1088,205,867,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-04,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-05,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-06,1526,1088,0,1088,0,438,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-07,854,1088,438,1088,0,204,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-08,975,1088,204,1088,0,91,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-09,1707,1088,91,1088,0,710,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-10,462,1088,710,1088,0,84,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-11,0,0,84,0,0,84,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-12,0,0,84,0,0,84,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-13,1306,1088,84,1088,0,302,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-14,638,1088,302,940,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-15,384,1088,0,384,0,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-16,2383,1088,0,1088,0,1295,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-17,0,1088,1295,1088,0,207,207
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-18,0,0,207,0,0,207,207
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-19,510,0,207,0,0,717,207
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-20,0,1088,717,510,207,0,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-21,1943,1088,0,1088,0,855,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-22,1414,1088,855,1088,0,1181,0
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-23,1907,1088,1181,1088,0,2000,93
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-24,1163,1088,2000,995,93,2075,912
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-25,0,0,2075,0,0,2075,912
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-26,0,0,2075,0,0,2075,912
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-27,1496,1088,2075,176,912,2483,987
deduplicated_sensitivity_w6_a2_r40_d2,2023-02-28,1134,1088,2483,101,987,2529,1395
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-01,227,1088,2529,0,1088,1668,1441
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-02,2495,1088,1668,0,1088,3075,580
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-03,708,1088,3075,508,580,2695,1987
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-04,0,0,2695,0,0,2695,1987
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-05,0,0,2695,0,0,2695,1987
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-06,1586,1088,2695,0,1088,3193,1607
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-07,479,1088,3193,0,1088,2584,2105
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-08,1728,1088,2584,0,1088,3224,1496
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-09,1078,1088,3224,0,1088,3214,2136
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-10,382,1088,3214,0,1088,2508,2126
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-11,0,0,2508,0,0,2508,2126
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-12,437,0,2508,0,0,2945,2126
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-13,0,1088,2945,0,1088,1857,1420
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-14,1656,1088,1857,0,1088,2425,769
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-15,384,1088,2425,319,769,1721,1337
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-16,1518,1088,1721,0,1088,2151,633
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-17,2400,1088,2151,455,633,3463,1063
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-18,0,0,3463,0,0,3463,1063
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-19,0,0,3463,0,0,3463,1063
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-20,0,1088,3463,25,1063,2375,2375
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-21,0,1088,2375,0,1088,1287,1287
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-22,5910,1088,1287,0,1088,6109,199
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-23,0,1088,6109,889,199,5021,5021
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-24,0,1088,5021,0,1088,3933,3933
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-25,0,0,3933,0,0,3933,3933
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-26,0,0,3933,0,0,3933,3933
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-27,1277,1088,3933,0,1088,4122,2845
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-28,102,1088,4122,0,1088,3136,3034
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-29,3482,1088,3136,0,1088,5530,2048
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-30,0,1088,5530,0,1088,4442,4442
deduplicated_sensitivity_w6_a2_r40_d2,2023-03-31,0,1088,4442,0,1088,3354,3354
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-01,0,0,3354,0,0,3354,3354
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-02,0,0,3354,0,0,3354,3354
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-03,3070,1088,3354,0,1088,5336,2266
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-04,1432,1088,5336,0,1088,5680,4248
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-05,808,1088,5680,0,1088,5400,4592
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-06,909,1088,5400,0,1088,5221,4312
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-07,0,1088,5221,0,1088,4133,4133
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-08,0,0,4133,0,0,4133,4133
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-09,0,0,4133,0,0,4133,4133
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-10,0,1088,4133,0,1088,3045,3045
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-11,1284,1088,3045,0,1088,3241,1957
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-12,0,1088,3241,0,1088,2153,2153
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-13,3489,1088,2153,0,1088,4554,1065
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-14,0,1088,4554,23,1065,3466,3466
deduplicated_sensitivity_w6_a2_r40_d2,2023-04-15,0,0,3466,0,0,3466,3466
