case_key,period,policy,basis,lead_days,demand_start,demand_end,cost_end,target_share,evidence,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,total_cost
full|extra0_ot0_temps4|retained|50.0|2|1,full,extra0_ot0_temps4,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,228195,223361,4834,0,0,0.9788163631981419,True,4551,122686,251376.0
full|extra0_ot0_temps4|retained|50.0|2|3,full,extra0_ot0_temps4,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,228195,193271,34924,0,0,0.8469554547645654,False,4551,217964,239136.0
full|extra0_ot0_temps4|deduplicated_sensitivity|30.0|0|1,full,extra0_ot0_temps4,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,215460,206251,9209,0,0,0.9572588879606424,True,4686,142890,259536.0
full|extra0_ot0_temps4|deduplicated_sensitivity|30.0|0|3,full,extra0_ot0_temps4,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,215460,168636,46824,0,0,0.7826789195210248,False,4686,249170,240816.0
full|extra0_ot0_temps4|deduplicated_sensitivity|30.0|1|1,full,extra0_ot0_temps4,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,215460,196798,18662,0,0,0.9133853151397011,False,4890,204020,284736.0
full|extra0_ot0_temps4|deduplicated_sensitivity|30.0|1|3,full,extra0_ot0_temps4,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,215460,82413,133047,0,0,0.3824979114452799,False,5812,527707,260496.0
full|extra0_ot0_temps4|deduplicated_sensitivity|30.0|2|1,full,extra0_ot0_temps4,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,215460,177802,37658,0,0,0.8252204585537919,False,5094,278905,324576.0
full|extra0_ot0_temps4|deduplicated_sensitivity|30.0|2|3,full,extra0_ot0_temps4,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,215460,25566,189894,0,0,0.11865775549986077,False,6725,777568,308496.0
full|extra0_ot0_temps4|deduplicated_sensitivity|40.0|0|1,full,extra0_ot0_temps4,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,215460,212006,3454,0,0,0.9839691822147962,True,4278,54074,243456.0
full|extra0_ot0_temps4|deduplicated_sensitivity|40.0|0|3,full,extra0_ot0_temps4,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957,238656.0
